,id,title,tags
0,761140.0,Lost Summoner Kitty,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']"
1,643980.0,Ironbound,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']"
2,670290.0,Real Pool 3D - Poolians,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']"
3,767400.0,弹炸人2222,"['Action', 'Adventure', 'Casual']"
5,772540.0,Battle Royale Trainer,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']"
6,774276.0,SNOW - All Access Basic Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
7,774277.0,SNOW - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
8,774278.0,SNOW - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
9,768800.0,Race,"['Indie', 'Casual', 'Simulation', 'Racing']"
10,768570.0,Uncanny Islands,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']"
12,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']"
13,768880.0,Beach Rules,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']"
14,765320.0,Planetarium 2 - Zen Odyssey,"['Indie', 'Casual', 'Simulation']"
15,773650.0,The first thrust of God,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']"
16,774271.0,SNOW - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
17,773690.0,The first thrust of God - All Aircrafts,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']"
18,774279.0,SNOW - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
21,768060.0,The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']"
23,775880.0,RC Plane 3 - Canyon Scenario,"['Simulation', 'Racing', 'Sports']"
24,775881.0,RC Plane 3 - F-53B,"['Simulation', 'Racing', 'Sports']"
25,653960.0,DinoBlaster,"['Indie', 'Action']"
26,777910.0,Robotpencil Presents: Understanding 3D for Concept,"['Design & Illustration', 'Tutorial']"
27,282010.0,Carmageddon Max Pack,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']"
28,70.0,Half-Life,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']"
29,752360.0,Fallen Mage,"['Action', 'RPG', 'Indie']"
31,520680.0,Lost Cities,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']"
32,690410.0,Twisted Enhanced Edition,"['Action', 'Platformer', 'Side Scroller']"
33,766850.0,Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']"
34,413120.0,Tactics Forever,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']"
35,773120.0,Christmas Santa Troubles,"['Adventure', 'Indie', 'Casual']"
37,754360.0,Underdone - Soundtrack,"['Action', 'Adventure', 'RPG']"
38,716110.0,Bitcoin Clicker,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']"
39,1640.0,Disciples II: Gallean's Return,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']"
40,1630.0,Disciples II: Rise of the Elves,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']"
41,2400.0,The Ship: Murder Party,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']"
42,662570.0,United Tactics,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']"
